Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
9	800.0000	900.0000	32.3626	27.0000	1.0657	6.2941	24.0385	0.9643	4.1509	0.5014	0.5714	4.1810	4.1900	0.3108	0.0010	0.0000	0.0000	0.0893	0.0000	0.4575	0.1159	0.0002	0.1439
10	900.0000	1000.0000	24.1330	19.0000	0.4926	5.3555	17.7106	0.5743	5.6392	2.2411	2.1187	6.0682	6.0240	2.1670	0.0011	0.0000	0.0000	0.1009	0.0000	0.5114	0.1220	0.2009	0.2203
11	1000.0000	1100.0000	15.1101	12.0000	0.4185	3.2414	11.0836	0.3667	6.3263	2.2206	1.5763	6.7047	6.5197	2.1518	0.0011	0.0000	0.0000	0.1032	0.0000	0.4952	0.1259	0.0014	0.1712
12	1100.0000	1200.0000	9.3532	7.0000	0.1940	2.6257	6.2171	0.3164	9.7854	3.5177	1.1895	10.3985	9.8574	3.4677	0.0000	0.0000	0.0000	0.1018	0.0000	0.5660	0.1332	0.0008	0.0251
13	1200.0000	1300.0000	5.3936	1.0000	0.3001	1.1618	3.7135	0.2182	9.5630	1.5675	2.6081	9.6906	9.9123	2.5110	0.0023	0.0000	0.0000	0.1764	0.0000	0.6551	0.1973	0.0032	0.4662
14	1300.0000	1400.0000	4.0183	1.0000	0.0938	0.9739	2.8966	0.0541	11.5363	2.4080	2.6648	11.7850	11.8401	2.2951	0.0026	0.0000	0.0000	0.1589	0.0000	0.6887	0.1632	1.1448	1.6673
15	1400.0000	1500.0000	2.8715	1.0000	0.1500	0.7516	1.7696	0.2004	13.2457	2.6870	1.5656	13.5155	13.3379	2.5261	0.0000	0.0000	0.0000	0.2387	0.0000	0.8465	0.2554	0.0002	0.5585
16	1500.0000	1600.0000	1.5060	0.0000	0.0499	0.2573	1.1732	0.0256	18.4668	6.6937	7.5837	19.6425	19.9634	7.5258	0.0000	0.0000	0.0000	0.3121	0.0000	0.8297	0.3023	0.0000	0.0006
17	1600.0000	1700.0000	1.6643	0.0000	0.0416	0.3952	1.2140	0.0136	17.4961	5.7057	2.7699	18.4029	17.7140	5.3815	0.0000	0.0000	0.0000	0.6711	0.0000	1.6429	0.6670	0.0000	0.0021
18	1700.0000	1800.0000	0.8575	1.0000	0.0168	0.1458	0.6764	0.0185	27.7580	4.2179	2.0158	28.0766	27.8311	4.1784	0.0000	0.0000	0.0000	0.0984	0.0000	0.5581	0.1003	0.0000	0.0032
