Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	0.1140	0.0000	0.1056	0.0084	0.0000	0.0000	36.2166	42.3989	11.0687	55.7612	37.8703	11.6099	0.0000	0.0000	0.0000	0.3677	0.0000	0.5906	0.6006	28.2647	29.3792
2	-4.8000	-4.6000	0.3572	1.0000	0.2142	0.1430	0.0000	0.0000	25.4936	10.6236	6.4085	27.6186	26.2868	6.3630	0.0000	0.0000	0.0000	0.4029	0.0000	0.4813	0.4301	0.0630	9.7274
3	-4.6000	-4.4000	0.5750	0.0000	0.2924	0.2831	0.0000	-0.0005	22.4669	10.9921	12.5710	25.0118	25.7447	4.8886	0.0000	0.0000	0.0000	0.3494	0.0000	0.4961	0.4041	5.9932	11.5586
4	-4.4000	-4.2000	0.7938	0.0000	0.5827	0.2107	0.0000	0.0003	17.2270	34.3637	14.7332	38.4400	22.6680	1.1588	0.0000	0.0000	0.0000	0.3570	0.0000	0.5099	0.4196	4.2786	34.0878
5	-4.2000	-4.0000	1.2181	3.0000	0.7335	0.4537	0.0000	0.0309	14.4446	16.6612	10.5985	22.0509	17.9157	7.7617	0.0000	0.0000	0.0000	0.3719	0.0000	0.4402	0.4138	4.5343	14.0103
6	-4.0000	-3.8000	1.7188	2.0000	0.9511	0.7573	0.0000	0.0104	12.2078	16.2850	7.9667	20.3527	14.5774	8.4123	0.0000	0.0000	0.0000	0.2951	0.0000	0.5076	0.3602	3.8433	13.3862
7	-3.8000	-3.6000	3.1431	4.0000	1.5831	1.5475	0.0000	0.0125	10.7582	6.5921	12.0350	12.6172	16.1425	2.9549	0.0000	0.0000	0.0000	0.3091	0.0000	0.4766	0.3529	0.6694	11.6283
8	-3.6000	-3.4000	3.4071	4.0000	1.9552	1.3394	0.0696	0.0429	8.8204	14.7756	8.8255	17.2081	12.4775	1.4199	0.0000	0.0000	0.0000	0.3214	0.0000	0.4491	0.3603	1.2807	14.7043
9	-3.4000	-3.2000	4.7215	8.0000	2.6454	2.0306	0.0000	0.0456	7.7983	8.4123	7.5668	11.4709	10.8660	1.1295	0.0000	0.0000	0.0000	0.3095	0.0000	0.4995	0.4003	0.9072	8.2561
10	-3.2000	-3.0000	7.2074	8.0000	4.0820	2.9562	0.0691	0.1001	6.6715	10.0970	11.7079	12.1020	13.4753	1.4486	0.0000	0.0000	0.0000	0.2629	0.0000	0.5009	0.3759	1.0635	11.5981
11	-3.0000	-2.8000	11.8690	18.0000	8.2497	3.5076	0.0000	0.1117	12.3930	6.4448	7.2120	13.9686	14.3387	2.4209	0.0000	0.0000	0.0000	0.5757	0.0000	0.4643	0.5267	0.4829	6.7331
12	-2.8000	-2.6000	25.7098	32.0000	19.5391	5.7473	0.0000	0.4235	6.1226	7.5984	11.9738	9.7582	13.4484	2.3952	0.0000	0.0000	0.0000	0.5156	0.0000	0.5200	0.6166	1.3840	11.6301
13	-2.6000	-2.4000	130.3556	168.0000	120.4806	7.4408	0.2668	2.1674	4.2081	7.7008	7.2799	8.7756	8.4086	1.2512	0.0000	0.0000	0.0000	0.7644	0.0000	0.5522	0.7409	0.3392	7.5780
14	-2.4000	-2.2000	456.5776	579.0000	431.6144	13.5741	0.1977	11.1914	2.0676	6.5684	6.4909	6.8861	6.8122	0.5863	0.0000	0.0000	0.0000	0.7005	0.0000	0.7819	0.6218	0.6518	6.3942
15	-2.2000	-2.0000	895.0050	1074.0000	849.7099	21.3726	1.4532	22.4692	1.4274	6.2261	5.9282	6.3876	6.0977	0.5037	0.0000	0.0000	0.0000	0.4789	0.0000	0.8571	0.4509	0.2381	6.1110
16	-2.0000	-1.8000	1163.9593	1442.0000	1099.4247	31.6926	1.9356	30.9064	1.2176	5.4055	5.5626	5.5409	5.6943	0.7640	0.0000	0.0000	0.0000	0.2791	0.0000	0.8715	0.3244	0.3712	5.4116
17	-1.8000	-1.6000	1221.4729	1499.0000	1148.4972	36.5281	2.0020	34.4457	1.1887	5.6315	5.8562	5.7556	5.9756	0.1404	0.0000	0.0000	0.0000	0.1761	0.0000	0.8921	0.2392	0.0577	5.7806
18	-1.6000	-1.4000	1236.3134	1474.0000	1153.8775	41.5400	2.4059	38.4899	1.1099	6.0137	5.5718	6.1152	5.6813	0.4611	0.0000	0.0000	0.0000	0.1556	0.0000	0.8747	0.2187	0.3196	5.9192
19	-1.4000	-1.2000	1211.1458	1415.0000	1120.7772	49.1216	2.0653	39.1817	1.1429	5.4077	6.0931	5.5271	6.1993	0.5993	0.0000	0.0000	0.0000	0.1863	0.0000	0.8122	0.2456	0.3210	6.0003
20	-1.2000	-1.0000	1113.5852	1307.0000	1023.8490	49.0949	2.3082	38.3331	1.0850	6.1798	6.0613	6.2743	6.1577	0.4210	0.0000	0.0000	0.0000	0.2430	0.0000	0.7353	0.2917	0.2490	6.1046
21	-1.0000	-0.8000	1051.5632	1162.0000	957.3774	50.3675	2.5920	41.2263	1.0829	6.0200	6.6116	6.1167	6.6997	0.1745	0.0000	0.0000	0.0000	0.2215	0.0000	0.5722	0.2715	0.4339	6.5612
22	-0.8000	-0.6000	1020.8437	1108.0000	923.1318	55.4192	1.8311	40.4615	1.0801	6.1261	6.1323	6.2206	6.2267	0.1050	0.0000	0.0000	0.0000	0.1728	0.0000	0.4492	0.2285	0.3496	6.1047
23	-0.6000	-0.4000	987.3318	1121.0000	892.7976	50.8416	2.3950	41.2976	1.1113	6.2034	6.2013	6.3022	6.3001	0.3390	0.0000	0.0000	0.0000	0.1700	0.0000	0.4285	0.2257	0.2608	6.1735
24	-0.4000	-0.2000	935.9399	1069.0000	838.9321	53.3100	2.4188	41.2790	1.0436	6.2997	6.0214	6.3856	6.1112	0.7244	0.0000	0.0000	0.0000	0.1655	0.0000	0.4193	0.2220	0.1639	6.2356
25	-0.2000	0.0000	909.6613	1021.0000	814.8935	52.2200	2.2537	40.2941	1.0664	6.8648	6.2538	6.9471	6.3441	0.5214	0.0000	0.0000	0.0000	0.1733	0.0000	0.4335	0.2281	0.1374	6.8238
26	0.0000	0.2000	918.9249	1047.0000	823.1023	53.5705	1.7547	40.4975	1.1247	6.6831	6.6843	6.7771	6.7783	0.4172	0.0000	0.0000	0.0000	0.1705	0.0000	0.4256	0.2255	0.2994	6.6577
27	0.2000	0.4000	954.5184	1049.0000	857.7530	53.7822	3.0565	39.9267	1.1405	5.8639	6.2890	5.9738	6.3915	0.2367	0.0000	0.0000	0.0000	0.1658	0.0000	0.4176	0.2221	0.3497	6.2548
28	0.4000	0.6000	961.7758	1055.0000	865.5106	54.1635	1.8348	40.2671	1.0776	6.2364	6.4663	6.3288	6.5555	0.2555	0.0000	0.0000	0.0000	0.1660	0.0000	0.4209	0.2228	0.1692	6.4441
29	0.6000	0.8000	999.8770	1200.0000	903.0509	53.3330	2.7673	40.7258	1.1132	5.7359	6.2478	5.8429	6.3462	0.3414	0.0000	0.0000	0.0000	0.1681	0.0000	0.4397	0.2244	0.1137	6.2169
30	0.8000	1.0000	1068.6595	1186.0000	977.6621	49.3624	2.1183	39.5167	1.1291	6.2134	5.9442	6.3151	6.0504	0.7033	0.0000	0.0000	0.0000	0.2184	0.0000	0.5709	0.2692	0.2794	6.1309
31	1.0000	1.2000	1122.2974	1271.0000	1030.5271	49.2956	2.4332	40.0414	1.1390	6.2646	5.1608	6.3673	5.2850	0.3846	0.0000	0.0000	0.0000	0.2377	0.0000	0.7297	0.2857	0.0468	6.2090
32	1.2000	1.4000	1179.4179	1412.0000	1092.6563	47.1031	1.7704	37.8881	1.1448	5.8374	5.4963	5.9486	5.6143	0.5738	0.0000	0.0000	0.0000	0.1895	0.0000	0.8130	0.2487	0.2567	5.7377
33	1.4000	1.6000	1228.9709	1390.0000	1147.3131	41.8918	2.4279	37.3381	1.1560	5.8163	5.8811	5.9301	5.9936	0.0330	0.0000	0.0000	0.0000	0.1540	0.0000	0.8720	0.2172	0.2573	5.8086
34	1.6000	1.8000	1220.5430	1407.0000	1144.9595	37.7966	2.4764	35.3104	1.1565	5.8868	5.8842	5.9994	5.9968	0.3407	0.0000	0.0000	0.0000	0.1785	0.0000	0.9008	0.2427	0.2691	5.7989
35	1.8000	2.0000	1159.8079	1352.0000	1099.0524	28.8991	1.7992	30.0571	1.2391	5.6502	5.7254	5.7845	5.8579	0.3692	0.0000	0.0000	0.0000	0.2774	0.0000	0.8819	0.3293	0.1300	5.6277
36	2.0000	2.2000	893.0195	1121.0000	847.0467	22.1619	1.4034	22.4074	1.4294	5.8025	5.4957	5.9759	5.6785	0.5087	0.0000	0.0000	0.0000	0.4720	0.0000	0.8564	0.4492	0.1093	5.6843
37	2.2000	2.4000	469.8242	593.0000	444.6841	13.8594	0.6808	10.5999	2.0019	5.6976	6.6209	6.0390	6.9169	0.4532	0.0000	0.0000	0.0000	0.7031	0.0000	0.7887	0.6253	0.6583	6.4576
38	2.4000	2.6000	130.9872	169.0000	119.2977	9.6582	0.1123	1.9190	3.6641	6.2547	6.0920	7.2489	7.1090	1.0880	0.0000	0.0000	0.0000	0.6688	0.0000	0.5671	0.7111	0.2337	6.1239
39	2.6000	2.8000	28.9187	40.0000	23.1226	5.2321	0.0096	0.5545	6.8554	12.5602	7.5712	14.3093	10.2137	3.2033	0.0000	0.0000	0.0000	0.5872	0.0000	0.5013	0.6531	1.1203	12.0507
40	2.8000	3.0000	12.1351	13.0000	7.9808	3.8551	0.0960	0.2033	10.1565	10.1979	9.5190	14.3927	13.9200	5.2368	0.0000	0.0000	0.0000	0.3239	0.0000	0.4990	0.4052	1.6336	8.7208
41	3.0000	3.2000	6.9463	16.0000	3.8577	2.7733	0.0634	0.2518	6.4544	12.4322	8.1897	14.0078	10.4274	2.4770	0.0000	0.0000	0.0000	0.3302	0.0000	0.4790	0.3644	0.4363	12.3325
42	3.2000	3.4000	5.3880	6.0000	3.0342	2.2762	0.0115	0.0661	7.3502	9.0789	8.6727	11.6813	11.3685	2.1469	0.0000	0.0000	0.0000	0.3344	0.0000	0.4733	0.3916	0.5922	8.9329
43	3.4000	3.6000	3.8229	6.0000	2.3135	1.4714	0.0000	0.0380	8.2260	9.0945	4.7929	12.2629	9.5205	0.1851	0.0000	0.0000	0.0000	0.3740	0.0000	0.4982	0.4600	1.1939	8.9806
44	3.6000	3.8000	2.3650	2.0000	1.5205	0.7836	0.0000	0.0609	10.2489	15.1381	11.6052	18.2812	15.4830	3.4704	0.0000	0.0000	0.0000	0.3477	0.0000	0.4989	0.3914	3.0044	14.6948
45	3.8000	4.0000	2.2608	2.0000	1.1834	1.0442	0.0000	0.0331	11.9193	4.4087	3.1468	12.7085	12.3277	0.7574	0.0000	0.0000	0.0000	0.3057	0.0000	0.4920	0.4067	0.6640	4.2850
46	4.0000	4.2000	1.3205	4.0000	0.8842	0.4361	0.0000	0.0002	17.3729	14.8166	2.4954	22.8331	17.5512	1.9323	0.0000	0.0000	0.0000	0.3792	0.0000	0.5834	0.4394	1.4127	14.5988
