Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	4.1884	0.0000	0.0000	1.1694	2.1673	0.8518	18.2175	15.9703	4.1400	24.2266	18.6820	3.7279	0.0000	0.0000	0.0000	0.3210	0.0000	0.8204	0.3300	1.3820	15.5804
2	50.0000	100.0000	6.9228	0.0000	1.3016	1.1149	2.8954	1.6109	15.9763	3.7175	17.4631	16.4031	23.6686	3.3152	0.0000	0.0000	0.0000	0.3691	0.0000	0.6913	0.3477	0.6933	17.3246
3	100.0000	150.0000	4.8684	0.0000	0.0000	1.1552	2.1414	1.5718	10.9376	8.4978	6.8291	13.8508	12.8945	4.3844	0.0000	0.0000	0.0000	0.3065	0.0000	0.8135	0.3341	1.1020	7.7417
4	150.0000	200.0000	4.1133	0.0000	0.0000	0.8747	1.4164	1.8222	11.8574	29.9072	8.5397	32.1720	14.6125	9.2208	0.0000	0.0000	0.0000	0.3876	0.0000	1.0906	0.4108	17.8185	22.1452
5	200.0000	250.0000	2.0713	0.0000	0.0000	0.5001	0.6388	0.9324	16.9595	11.9528	6.0776	20.7483	18.0155	7.0954	0.0000	0.0000	0.0000	0.4600	0.0000	1.2998	0.5357	2.5852	9.1463
6	250.0000	300.0000	2.2448	0.0000	0.4747	0.5909	0.5546	0.6246	24.9744	6.9646	4.5040	25.9273	25.3773	5.9526	0.0000	0.0000	0.0000	0.6075	0.0000	1.4399	0.5968	0.2174	3.1980
7	300.0000	350.0000	1.4728	0.0000	0.0000	0.4946	0.1466	0.8317	18.7878	5.8693	3.1920	19.6833	19.0571	5.7568	0.0000	0.0000	0.0000	0.3382	0.0000	1.0273	0.3714	0.0107	2.9818
8	350.0000	400.0000	0.9369	0.0000	0.0000	0.3458	0.2173	0.3739	19.2316	12.7695	15.0416	23.0849	24.4152	14.8598	0.0000	0.0000	0.0000	0.8434	0.0000	1.7688	0.8034	0.0148	0.9951
9	400.0000	450.0000	0.5245	0.0000	0.0000	0.0505	0.0442	0.4298	26.1581	13.6242	8.9599	29.4935	27.6501	13.0109	0.0000	0.0000	0.0000	1.6859	0.0000	3.2897	1.6103	2.3835	1.5352
10	450.0000	500.0000	0.3053	0.0000	0.0000	0.1108	0.0623	0.1322	42.1350	12.5410	16.2436	43.9617	45.1577	11.7451	0.0000	0.0000	0.0000	1.9554	0.0000	3.6935	1.7676	0.0043	10.2676
11	500.0000	550.0000	0.0234	0.0000	0.0000	0.0167	0.0000	0.0067	343.5474	106.7577	63.4200	359.7527	349.3522	103.4430	0.0000	0.0000	0.0000	9.0010	0.0000	11.3551	8.2486	0.0000	20.7069
12	550.0000	600.0000	0.3322	0.0000	0.0000	0.1720	0.0187	0.1416	33.4896	9.4990	7.5990	34.8107	34.3409	7.3224	0.0000	0.0000	0.0000	2.6634	0.0000	4.7811	2.5795	0.0000	0.0822
13	600.0000	650.0000	0.1557	0.0000	0.0000	0.0087	0.0000	0.1471	43.8341	7.8763	8.7337	44.5361	44.6957	4.3953	0.0000	0.0000	0.0000	4.1208	0.0000	5.4658	3.2285	0.0334	0.0933
14	650.0000	700.0000	0.0274	0.0000	0.0000	0.0000	0.0000	0.0274	57.5044	43.3796	38.4544	72.0315	69.1773	43.2112	0.0000	0.0000	0.0000	1.4641	0.0000	3.1155	1.6292	0.0000	0.2754
15	700.0000	750.0000	0.0353	0.0000	0.0000	0.0245	0.0000	0.0108	70.0311	21.3013	19.7081	73.1991	72.7514	20.4279	0.0000	0.0000	0.0000	2.0651	0.0000	4.9761	2.1570	0.0000	8.8678
16	750.0000	800.0000	0.0376	0.0000	0.0000	0.0357	0.0000	0.0019	96.5033	4.4732	14.1435	96.6069	97.5342	13.5971	0.0000	0.0000	0.0000	1.6828	0.0000	3.2104	1.4728	0.0000	0.1870
18	850.0000	900.0000	0.0026	0.0000	0.0000	0.0000	0.0000	0.0026	19.1785	13.9559	6.9985	23.7188	20.4155	12.9708	0.0000	0.0000	0.0000	2.2886	0.0000	4.1073	2.1021	0.0000	0.0000
20	950.0000	1000.0000	0.1054	0.0000	0.0000	0.0199	0.0407	0.0448	45.5829	7.4573	8.3326	46.1889	46.3382	6.2505	0.0000	0.0000	0.0000	2.3722	0.0000	4.4445	2.2843	0.0000	0.0000
