Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	0.0883	0.0000	0.0000	0.0697	0.0182	0.0004	62.1715	56.3513	23.6087	83.9092	66.5031	14.8156	0.9050	5.4780	1.2815	0.0000	0.0000	0.0000	0.0000	20.6049	54.0694
2	-4.8000	-4.6000	0.0681	0.0000	0.0000	0.0681	0.0000	0.0001	76.2015	111.4005	104.4367	134.9694	129.2815	12.1786	0.7961	2.8132	0.4261	0.0000	0.0000	0.0000	0.0000	107.0518	99.5144
3	-4.6000	-4.4000	0.1641	0.0000	0.0000	0.0984	0.0629	0.0027	53.4918	36.2862	51.3942	64.6379	74.1804	21.6531	0.8617	5.1556	0.3792	0.0000	0.0000	0.0000	0.0000	32.5432	35.3346
4	-4.4000	-4.2000	0.1714	0.0000	0.0000	0.1679	0.0000	0.0035	51.4221	9.1319	64.4589	52.2267	82.4572	5.9621	0.8623	3.7510	1.3006	0.0000	0.0000	0.0000	0.0000	62.3983	14.4861
5	-4.2000	-4.0000	0.5597	0.0000	0.0000	0.5515	0.0000	0.0082	26.5921	9.4142	38.8848	28.2094	47.1081	2.0506	0.8849	5.5184	0.8637	0.0000	0.0000	0.0000	0.0000	7.5236	38.4332
6	-4.0000	-3.8000	0.5619	0.0000	0.0000	0.4832	0.0000	0.0787	29.6263	42.5627	13.9644	51.8585	32.7524	12.8423	0.8668	5.3699	1.2953	0.0000	0.0000	0.0000	0.0000	17.2761	37.8787
7	-3.8000	-3.6000	1.0994	0.0000	0.0000	1.0609	0.0000	0.0385	19.0117	16.8383	19.4991	25.3963	27.2334	5.8851	0.8754	4.3080	1.0264	0.0000	0.0000	0.0000	0.0000	8.0397	16.1671
8	-3.6000	-3.4000	0.7836	0.0000	0.0000	0.7881	0.0000	-0.0045	25.3534	136.6876	7.1876	139.0191	26.3526	4.2181	0.8536	4.2757	0.8036	0.0000	0.0000	0.0000	0.0000	3.8392	136.5949
9	-3.4000	-3.2000	4.4295	0.0000	2.4882	1.7725	0.0707	0.0981	37.3262	13.5374	30.4883	39.7053	48.1953	11.6480	0.8313	6.3803	0.4884	0.0000	0.0000	0.0000	0.0000	2.4388	29.0427
10	-3.2000	-3.0000	2.5921	0.0000	0.0000	2.5222	0.0000	0.0698	13.3095	41.4164	6.0851	43.5024	14.6346	1.7973	0.8774	4.9751	0.7963	0.0000	0.0000	0.0000	0.0000	5.5661	40.7109
11	-3.0000	-2.8000	8.1330	0.0000	0.4779	3.7280	3.7446	0.1825	45.9710	19.5486	15.3050	49.9548	48.4518	18.2024	0.9407	6.4668	1.2094	0.0000	0.0000	0.0000	0.0000	1.7989	2.5561
12	-2.8000	-2.6000	6.0643	0.0000	0.0000	5.9198	0.0000	0.1444	8.6909	7.4022	7.9128	11.4160	11.7535	2.8916	0.8675	5.2209	0.8270	0.0000	0.0000	0.0000	0.0000	2.1686	4.7317
