Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	38.6801	48.0000	0.0000	36.8252	1.1810	0.6739	3.4812	4.4892	4.4861	5.6809	5.6784	0.9174	0.4510	2.5002	0.0000	0.0000	0.0000	0.3588	0.1521	1.0929	3.6099
2	50.0000	100.0000	143.0949	113.0000	0.9720	116.3820	22.7857	2.9551	10.8004	3.7865	4.8378	11.4449	11.8344	1.6983	0.4530	2.8277	0.0000	0.0000	0.0000	0.3760	0.1522	0.3794	3.4656
3	100.0000	150.0000	168.9468	191.0000	0.0000	160.9566	2.8081	5.1821	1.6336	4.2733	5.4657	4.5749	5.7046	0.8930	0.4412	2.4801	0.0000	0.0000	0.0000	0.4072	0.1565	1.3131	4.5625
4	150.0000	200.0000	212.5308	217.0000	1.6697	186.2498	15.7134	8.8979	4.0681	4.2058	8.0374	5.8513	9.0083	0.6143	0.4384	2.4839	0.0000	0.0000	0.0000	0.4333	0.1552	0.5684	7.5950
5	200.0000	250.0000	190.3916	201.0000	2.7948	184.1130	-4.4215	7.9053	4.8010	4.7915	4.6824	6.7829	6.7063	0.3420	0.4269	2.5492	0.0000	0.0000	0.0000	0.4585	0.1678	0.8399	3.9157
6	250.0000	300.0000	163.8128	195.0000	0.6018	159.7991	-4.2336	7.6455	4.6574	4.9660	5.9356	6.8082	7.5447	0.6356	0.4204	2.4885	0.0000	0.0000	0.0000	0.4755	0.1708	0.4253	5.2935
7	300.0000	350.0000	127.1497	133.0000	-1.5169	120.6946	1.9150	6.0570	2.2808	5.8510	5.3770	6.2798	5.8407	0.5891	0.4202	2.3911	0.0000	0.0000	0.0000	0.4940	0.1787	0.5594	5.2349
8	350.0000	400.0000	97.2925	104.0000	0.0000	91.3542	1.0502	4.8881	2.0955	8.4931	2.5955	8.7478	3.3358	0.8727	0.4189	2.3498	0.0000	0.0000	0.0000	0.5536	0.2196	6.2983	5.0647
9	400.0000	450.0000	73.5364	80.0000	0.0000	62.6511	7.2325	3.6528	8.8452	6.2794	16.8057	10.8475	18.9913	0.6831	0.4128	2.1144	0.0000	0.0000	0.0000	0.5512	0.2199	8.9739	14.0324
10	450.0000	500.0000	43.7673	45.0000	0.0000	40.1648	0.5422	3.0603	3.1345	4.2411	7.0571	5.2737	7.7219	0.7025	0.4167	2.3512	0.0000	0.0000	0.0000	0.6477	0.2733	0.8600	6.5095
11	500.0000	550.0000	28.1622	22.0000	0.0000	25.8411	0.5101	1.8109	3.8457	14.9057	8.7473	15.3938	9.5554	1.2961	0.4146	2.2389	0.0000	0.0000	0.0000	0.7626	0.3331	0.8783	14.6747
12	550.0000	600.0000	19.4342	17.0000	0.0000	17.7588	0.3059	1.3696	4.7785	2.5423	9.5609	5.4127	10.6885	0.6848	0.4142	2.2711	0.0000	0.0000	0.0000	0.7663	0.3286	1.5547	9.0829
13	600.0000	650.0000	10.8525	21.0000	0.0000	10.3583	0.1363	0.3579	5.9158	52.5952	2.8660	52.9269	6.5735	1.9096	0.4129	2.2686	0.0000	0.0000	0.0000	0.9191	0.4249	1.6531	52.4741
14	650.0000	700.0000	14.1535	8.0000	0.0000	7.0617	6.4953	0.5965	44.2558	9.3763	48.3224	45.2382	65.5258	5.4913	0.4095	1.4359	0.0000	0.0000	0.0000	0.8569	0.3725	1.2231	48.1010
15	700.0000	750.0000	6.3125	3.0000	0.0000	5.6028	0.0000	0.7096	8.0766	2.7065	7.6505	8.5180	11.1248	0.9059	0.4155	2.2659	0.0000	0.0000	0.0000	0.9907	0.4644	0.9092	7.1533
16	750.0000	800.0000	4.7572	3.0000	0.0000	4.4480	0.0353	0.2740	9.1062	16.4070	17.5564	18.7647	19.7775	2.6914	0.4097	1.7052	0.0000	0.0000	0.0000	1.0625	0.5132	3.4356	17.1670
17	800.0000	850.0000	2.3544	1.0000	0.0000	2.1192	0.0000	0.2351	12.5468	21.5511	8.1595	24.9374	14.9666	4.5205	0.4132	2.6935	0.0000	0.0000	0.0000	1.5479	0.7689	5.7890	21.0753
18	850.0000	900.0000	2.1704	1.0000	0.0000	2.1525	0.0698	-0.0519	14.5384	5.3345	16.5985	15.4862	22.0652	6.2418	0.4199	2.3476	0.0000	0.0000	0.0000	1.0897	0.5081	3.6781	14.9344
19	900.0000	950.0000	1.4315	1.0000	0.0000	1.4136	0.0118	0.0061	17.2538	6.9416	12.7589	18.5979	21.4589	3.1780	0.4033	1.3660	0.0000	0.0000	0.0000	1.5238	0.7322	2.9942	12.1575
20	950.0000	1000.0000	4.4330	1.0000	0.0000	3.8701	0.1408	0.4221	8.6072	12.9346	10.4164	15.5366	13.5124	1.8099	0.4101	2.1856	0.0000	0.0000	0.0000	1.6008	0.7764	1.6969	12.6071
